"student_id","sleep_hours","motivation_level","physical_activity","learning_desabilities","gender","exam_score","attendance","tutoring_sessions","teacher_quality","school_type","distance_from_home","previous_scores","parental_involvement","family_income","parental_education_level","hours_studied","access_to_resources","extraurricular_activities","internet_access","peer_influence"
1526,6,"Low",3,"No","Female",101,98,5,"High","Public","Moderate",93,"Low","High","High School",27,"Medium","Yes","No","Positive"
95,4,"Medium",2,"No","Female",100,89,3,"Medium","Private","Near",73,"High","High","College",18,"Medium","Yes","Yes","Positive"
2426,4,"Low",3,"No","Male",99,83,1,"Medium","Public","Far",89,"High","Medium","High School",23,"High","Yes","Yes","Negative"
3580,8,"Medium",2,"No","Female",99,90,4,"Medium","Private","Near",86,"High","Medium","High School",14,"High","Yes","Yes","Negative"
4193,9,"Medium",2,"No","Female",98,90,0,"Medium","Public","Moderate",91,"Low","Medium","College",28,"Medium","Yes","Yes","Positive"
6348,4,"High",3,"No","Male",98,96,1,"High","Public","Near",98,"High","High","High School",28,"Low","Yes","Yes","Positive"
6394,8,"Low",4,"No","Female",98,83,2,"High","Public","Near",92,"Low","High","Postgraduate",16,"Medium","Yes","Yes","Positive"
5967,7,"Medium",3,"No","Male",97,99,0,"High","Public","Near",77,"Medium","High","High School",25,"Medium","Yes","Yes","Neutral"
530,7,"Medium",2,"No","Female",97,83,2,"High","Private","Near",97,"Medium","Low","High School",15,"Medium","No","Yes","Neutral"
920,6,"Medium",1,"No","Male",97,74,1,"High","Public","Near",94,"High","Low","High School",21,"Medium","No","Yes","Positive"
3458,7,"Low",4,"No","Female",96,93,2,"Medium","Private","Near",76,"Medium","Medium","High School",18,"Medium","No","Yes","Neutral"
4298,6,"Medium",5,"No","Female",95,67,1,"Medium","Private","Near",88,"Medium","Low","Postgraduate",21,"Medium","Yes","Yes","Positive"
6523,6,"Low",3,"No","Female",95,90,1,"High","Public","Near",54,"High","Medium","High School",18,"High","Yes","Yes","Negative"
837,8,"Low",2,"No","Male",94,76,2,"Medium","Public","Moderate",96,"Medium","Low","Postgraduate",29,"Medium","No","Yes","Positive"
771,6,"Medium",2,"No","Female",94,96,2,"Medium","Public","Moderate",93,"Low","Low","High School",24,"High","No","Yes","Neutral"
3125,5,"Low",2,"No","Female",94,90,0,"Medium","Public","Far",90,"Medium","Low","College",19,"High","Yes","Yes","Neutral"
4406,7,"High",4,"No","Male",94,98,1,"Low","Public","Near",90,"Medium","High","Postgraduate",25,"Medium","Yes","Yes","Neutral"
4532,7,"Low",3,"No","Female",93,69,0,"Medium","Public","Near",95,"High","Medium","Postgraduate",26,"High","No","No","Negative"
4584,7,"Medium",4,"No","Female",93,73,2,"Medium","Public","Near",56,"Medium","High","High School",25,"Medium","Yes","Yes","Neutral"
1110,7,"Medium",5,"No","Male",92,69,2,"Low","Public","Far",52,"Medium","High","College",31,"Medium","No","No","Neutral"
4780,4,"High",2,"No","Male",92,88,3,"Medium","Private","Near",72,"Medium","Medium","College",1,"High","Yes","Yes","Negative"
2293,9,"Medium",4,"No","Male",91,70,1,"Low","Public","Moderate",66,"High","Medium","College",21,"High","No","Yes","Neutral"
218,7,"High",2,"Yes","Male",89,70,0,"Medium","Public","Moderate",54,"Medium","Medium","High School",19,"Low","No","Yes","Positive"
1108,6,"Medium",4,"Yes","Female",89,77,1,"High","Public","Near",75,"Low","Medium","High School",14,"High","No","Yes","Neutral"
1845,9,"Medium",5,"No","Female",89,92,2,"Medium","Public","Moderate",58,"High","High","High School",21,"High","Yes","Yes","Neutral"
2905,7,"High",3,"Yes","Male",88,62,3,"Medium","Private","Moderate",76,"High","High","High School",11,"Medium","Yes","Yes","Neutral"
2514,8,"Medium",1,"No","Male",88,86,2,"High","Private","Near",60,"High","Low","College",18,"Medium","No","Yes","Neutral"
1608,9,"Medium",3,"No","Male",88,98,1,"Low","Private","Near",93,"Medium","Low","High School",30,"Low","Yes","Yes","Positive"
2596,8,"High",2,"No","Male",87,69,1,"High","Public","Far",54,"Medium","Medium","High School",7,"High","Yes","Yes","Positive"
2688,8,"Medium",3,"No","Female",87,71,1,"Medium","Public","Near",55,"Low","Low","College",11,"Medium","Yes","Yes","Negative"
405,5,"Medium",3,"No","Male",86,77,2,"Medium","Public","Near",53,"Low","High","College",17,"High","Yes","Yes","Neutral"
3142,10,"Medium",2,"Yes","Male",86,63,0,"Medium","Private","Moderate",90,"High","Low","High School",7,"High","Yes","Yes","Positive"
3365,6,"High",1,"No","Female",86,76,0,"Medium","Public","Near",63,"Medium","Low","High School",16,"High","Yes","Yes","Positive"
2422,9,"Low",2,"Yes","Male",86,90,2,"High","Public","Near",52,"Low","Low","College",27,"Medium","No","No","Positive"
4356,9,"High",2,"No","Male",85,70,1,"Medium","Public","Moderate",52,"Medium","Low","Postgraduate",24,"High","Yes","Yes","Positive"
3933,7,"Medium",2,"Yes","Female",84,66,4,"Medium","Public","Moderate",55,"High","Medium","High School",25,"Medium","Yes","Yes","Neutral"
561,9,"High",3,"Yes","Female",84,71,1,"High","Public","Near",56,"Low","Low","College",22,"High","Yes","Yes","Neutral"
2077,7,"Medium",2,"No","Male",84,77,3,"High","Public","Far",57,"High","Medium","College",24,"Medium","Yes","Yes","Positive"
559,7,"Low",3,"No","Female",83,70,1,"Medium","Public","Near",53,"Low","Low","High School",22,"Medium","No","Yes","Positive"
3925,8,"High",4,"No","Male",82,87,1,"High","Public","Near",79,"Low","Low","College",18,"Low","No","Yes","Negative"
2955,5,"Medium",3,"No","Male",82,75,0,"Medium","Public","Moderate",95,"Medium","Medium","College",14,"Medium","Yes","Yes","Positive"
1352,6,"Low",2,"No","Male",82,61,1,"Medium","Private","Near",77,"High","High","High School",9,"Medium","Yes","No","Neutral"
4667,6,"High",3,"No","Male",82,71,1,"High","Public","Near",59,"Low","Low","Postgraduate",16,"Low","Yes","Yes","Positive"
5990,6,"High",3,"No","Female",80,61,3,"High","Public","Moderate",91,"Medium","Medium","College",18,"Low","Yes","Yes","Positive"
4255,8,"Medium",1,"No","Male",80,74,3,"Low","Public","Far",64,"High","Low","College",21,"Low","Yes","Yes","Neutral"
1100,5,"Low",2,"No","Male",80,75,2,"Medium","Public","Far",66,"Medium","Low","High School",22,"Low","Yes","Yes","Positive"
1864,6,"Medium",2,"No","Male",80,76,1,"High","Public","Near",76,"Medium","High","Postgraduate",10,"Low","No","Yes","Negative"
638,7,"High",0,"Yes","Male",80,65,0,"Medium","Public","Near",62,"Medium","Medium","Postgraduate",20,"Low","Yes","Yes","Neutral"
5126,7,"Low",1,"Yes","Female",79,82,0,"High","Private","Far",56,"Medium","High","High School",16,"Medium","No","Yes","Negative"
1958,10,"Medium",3,"No","Female",79,97,2,"Medium","Public","Moderate",91,"High","Low","High School",39,"High","Yes","Yes","Positive"
114,7,"Low",2,"No","Female",79,99,2,"High","Private","Near",85,"High","Medium","Postgraduate",35,"High","Yes","Yes","Neutral"
3717,8,"High",1,"No","Female",78,90,2,"High","Private","Near",92,"High","Medium","High School",39,"High","No","Yes","Neutral"
210,7,"Medium",1,"No","Female",78,86,2,"High","Public","Near",97,"High","Medium","High School",43,"Medium","Yes","Yes","Positive"
4248,7,"Low",5,"No","Female",78,92,6,"Medium","Public","Near",67,"High","High","High School",33,"High","Yes","Yes","Positive"
2543,5,"Medium",3,"Yes","Male",78,68,0,"Medium","Public","Moderate",80,"Medium","Medium","High School",19,"Medium","Yes","Yes","Neutral"
1419,8,"High",2,"No","Male",77,99,5,"Low","Public","Near",98,"High","Low","Postgraduate",29,"Medium","Yes","No","Neutral"
4729,7,"Medium",3,"No","Female",77,98,1,"Medium","Private","Near",96,"Medium","Medium","Postgraduate",30,"High","Yes","Yes","Neutral"
6203,6,"High",4,"No","Male",77,93,2,"High","Public","Near",93,"High","Low","High School",34,"Medium","Yes","Yes","Neutral"
2545,8,"Medium",4,"No","Female",77,77,5,"Medium","Public","Near",89,"High","High","College",35,"High","Yes","Yes","Positive"
1616,9,"High",3,"No","Male",77,95,2,"Medium","Private","Moderate",54,"Medium","Medium","High School",39,"High","Yes","Yes","Positive"
2266,8,"Medium",2,"No","Female",76,97,6,"Medium","Public","Near",72,"High","Low","College",27,"High","No","Yes","Neutral"
1166,6,"Medium",2,"Yes","Female",76,93,5,"Medium","Public","Near",94,"Medium","Medium","College",35,"Medium","Yes","Yes","Neutral"
2179,5,"Low",5,"No","Female",76,97,1,"High","Public","Moderate",97,"High","Low","College",32,"Low","Yes","Yes","Positive"
5018,7,"High",3,"No","Male",76,95,5,"Medium","Private","Near",66,"Medium","High","College",32,"Medium","Yes","Yes","Negative"
6567,8,"Low",3,"No","Male",76,96,3,"Medium","Public","Near",85,"High","High","Postgraduate",29,"Medium","No","Yes","Neutral"
107,7,"Medium",5,"No","Male",76,100,2,"High","Public","Moderate",59,"Medium","High","Postgraduate",31,"Medium","No","Yes","Positive"
4698,5,"Medium",5,"No","Female",76,99,6,"Medium","Private","Moderate",100,"High","Medium","High School",28,"Low","No","Yes","Neutral"
2036,8,"High",3,"No","Male",76,94,1,"Medium","Private","Near",52,"High","Low","Postgraduate",37,"Medium","Yes","Yes","Positive"
6041,6,"High",4,"No","Male",76,100,0,"High","Public","Near",76,"High","Medium","Postgraduate",26,"High","Yes","Yes","Negative"
2412,7,"Medium",3,"No","Male",76,93,3,"High","Private","Near",74,"High","Medium","High School",29,"High","No","Yes","Positive"
3524,5,"Medium",2,"No","Male",76,97,0,"Medium","Public","Near",70,"High","High","Postgraduate",30,"High","No","Yes","Positive"
1388,8,"Medium",3,"No","Female",76,100,2,"Medium","Private","Moderate",89,"High","Medium","High School",29,"High","Yes","Yes","Neutral"
3603,5,"Medium",3,"No","Male",76,98,2,"Low","Private","Near",89,"Low","High","College",32,"High","No","Yes","Positive"
3213,8,"High",3,"No","Female",76,98,1,"High","Public","Near",83,"High","Low","High School",30,"High","Yes","No","Neutral"
3242,7,"Medium",4,"No","Male",76,96,0,"High","Private","Near",63,"High","Medium","High School",37,"Medium","Yes","Yes","Positive"
4092,7,"Medium",4,"No","Female",76,94,6,"High","Private","Near",79,"High","Low","College",29,"Medium","No","Yes","Neutral"
5481,4,"Medium",2,"No","Female",75,91,3,"High","Public","Near",66,"High","Low","Postgraduate",32,"Medium","Yes","Yes","Neutral"
895,7,"Medium",4,"No","Male",75,94,3,"High","Public","Far",80,"Medium","Low","Postgraduate",28,"High","Yes","Yes","Positive"
1087,4,"High",4,"No","Female",75,99,2,"Low","Public","Moderate",91,"Low","High","Postgraduate",26,"High","Yes","Yes","Neutral"
1985,6,"High",3,"No","Male",75,100,1,"High","Public","Moderate",79,"High","Medium","College",26,"Medium","Yes","Yes","Positive"
3487,4,"Low",4,"No","Female",75,92,1,"High","Public","Near",91,"High","High","High School",29,"Medium","Yes","Yes","Neutral"
4366,6,"High",4,"No","Female",75,93,0,"Medium","Private","Far",96,"Medium","Low","Postgraduate",33,"Medium","Yes","Yes","Positive"
4800,8,"Medium",3,"No","Female",75,98,6,"High","Private","Near",61,"Medium","Medium","High School",24,"High","No","Yes","Positive"
997,8,"Low",3,"No","Male",75,96,3,"Medium","Public","Near",93,"Medium","Low","High School",31,"Medium","Yes","Yes","Positive"
2438,7,"High",1,"No","Male",75,97,3,"Medium","Public","Near",85,"Low","High","Postgraduate",25,"High","Yes","Yes","Neutral"
6184,9,"High",2,"Yes","Male",75,94,4,"Medium","Private","Near",55,"Medium","Medium","High School",32,"High","Yes","Yes","Positive"
4378,8,"Medium",3,"No","Female",75,97,0,"Medium","Public","Near",73,"High","High","College",32,"Medium","Yes","Yes","Negative"
6064,8,"Medium",5,"No","Male",75,99,0,"High","Public","Near",53,"Medium","Medium","College",34,"Medium","Yes","Yes","Neutral"
2306,9,"Medium",4,"No","Male",75,92,1,"Medium","Public","Moderate",73,"Medium","Medium","Postgraduate",39,"Medium","No","Yes","Negative"
2893,7,"Low",3,"No","Female",75,99,3,"Medium","Public","Near",86,"High","Medium","College",25,"High","No","No","Positive"
