AF_ID;Student_ID;Hours_Studied;Access_to_Resources;Extracurricular_Activities;Internet_Access;Peer_Influence
1;1;23;High;No;Yes;Positive
2;2;19;Medium;No;Yes;Negative
3;3;24;Medium;Yes;Yes;Neutral
4;4;29;Medium;Yes;Yes;Negative
5;5;19;Medium;Yes;Yes;Neutral
6;6;19;Medium;Yes;Yes;Positive
7;7;29;Low;Yes;Yes;Neutral
8;8;25;High;Yes;Yes;Negative
9;9;17;High;No;Yes;Neutral
10;10;23;Medium;Yes;Yes;Positive
11;11;17;High;No;No;Neutral
12;12;17;High;Yes;Yes;Neutral
13;13;21;Medium;Yes;Yes;Positive
14;14;9;Medium;Yes;Yes;Positive
15;15;10;High;Yes;Yes;Neutral
16;16;17;Medium;No;Yes;Positive
17;17;14;Low;Yes;Yes;Positive
18;18;22;Medium;Yes;Yes;Neutral
19;19;15;Medium;Yes;Yes;Positive
20;20;12;High;Yes;Yes;Positive
21;21;29;Medium;No;Yes;Negative
22;22;19;High;No;Yes;Neutral
23;23;20;High;No;Yes;Negative
24;24;11;Medium;Yes;Yes;Neutral
25;25;17;High;Yes;Yes;Positive
26;26;21;Low;Yes;Yes;Positive
27;27;13;Medium;No;Yes;Negative
28;28;22;High;Yes;Yes;Neutral
29;29;16;Medium;No;Yes;Neutral
30;30;18;High;No;Yes;Neutral
31;31;16;Medium;No;Yes;Positive
32;32;31;High;Yes;Yes;Negative
33;33;20;Medium;Yes;Yes;Positive
34;34;14;Medium;No;Yes;Neutral
35;35;25;Medium;No;Yes;Positive
36;36;13;Medium;No;Yes;Negative
37;37;21;Low;Yes;Yes;Positive
38;38;8;Medium;No;Yes;Neutral
39;39;12;Medium;Yes;Yes;Positive
40;40;21;Medium;Yes;Yes;Negative
41;41;24;Medium;No;Yes;Neutral
42;42;21;Medium;Yes;Yes;Neutral
43;43;19;High;No;Yes;Positive
44;44;18;High;Yes;Yes;Negative
45;45;11;Medium;Yes;Yes;Positive
46;46;16;Medium;Yes;Yes;Positive
47;47;17;Medium;Yes;Yes;Positive
48;48;26;Low;Yes;Yes;Positive
49;49;22;Medium;Yes;Yes;Positive
50;50;9;Medium;No;Yes;Neutral
51;51;22;Medium;Yes;Yes;Positive
52;52;18;Medium;No;Yes;Neutral
53;53;16;Medium;Yes;Yes;Positive
54;54;24;Low;No;Yes;Neutral
55;55;26;High;Yes;Yes;Neutral
56;56;26;High;Yes;Yes;Positive
57;57;15;High;No;No;Neutral
58;58;18;Medium;Yes;Yes;Positive
59;59;22;Low;No;Yes;Positive
60;60;26;Low;Yes;Yes;Neutral
61;61;17;Medium;No;Yes;Negative
62;62;19;Medium;Yes;Yes;Positive
63;63;13;High;Yes;Yes;Negative
64;64;13;High;Yes;Yes;Neutral
65;65;25;High;Yes;No;Neutral
66;66;28;High;Yes;Yes;Neutral
67;67;20;Medium;Yes;Yes;Negative
68;68;26;High;Yes;Yes;Positive
69;69;22;High;No;No;Negative
70;70;16;Medium;No;Yes;Negative
71;71;22;Low;Yes;No;Positive
72;72;29;Low;Yes;Yes;Positive
73;73;20;Medium;Yes;Yes;Neutral
74;74;29;Medium;No;Yes;Negative
75;75;4;High;Yes;Yes;Positive
76;76;25;Medium;No;Yes;Positive
77;77;21;Medium;Yes;Yes;Neutral
78;78;18;Low;Yes;Yes;Neutral
79;79;21;Medium;Yes;Yes;Neutral
80;80;8;Medium;Yes;Yes;Positive
81;81;19;High;Yes;Yes;Negative
82;82;22;Medium;No;Yes;Positive
83;83;29;High;Yes;Yes;Neutral
84;84;17;Medium;Yes;Yes;Negative
85;85;15;Medium;No;Yes;Positive
86;86;17;High;Yes;Yes;Neutral
87;87;25;High;Yes;Yes;Negative
88;88;22;Low;No;Yes;Neutral
89;89;17;High;No;Yes;Neutral
90;90;23;Low;Yes;Yes;Negative
91;91;21;Medium;No;Yes;Neutral
92;92;26;Low;Yes;Yes;Neutral
93;93;16;Medium;Yes;Yes;Positive
94;94;18;Medium;Yes;Yes;Positive
95;95;18;Medium;Yes;Yes;Positive
96;96;11;Medium;No;Yes;Neutral
97;97;22;Medium;No;No;Negative
98;98;22;Medium;Yes;Yes;Positive
99;99;20;High;Yes;Yes;Positive
100;100;19;Medium;No;Yes;Positive
101;101;12;Medium;No;Yes;Neutral
102;102;17;High;Yes;Yes;Neutral
103;103;18;Medium;Yes;Yes;Neutral
104;104;15;Medium;No;Yes;Positive
105;105;19;Medium;No;Yes;Negative
106;106;22;Low;Yes;Yes;Negative
107;107;31;Medium;No;Yes;Positive
108;108;21;High;Yes;Yes;Positive
109;109;22;Medium;Yes;Yes;Positive
110;110;20;Medium;Yes;Yes;Positive
111;111;8;Medium;Yes;Yes;Neutral
112;112;20;Medium;No;Yes;Positive
113;113;20;High;Yes;Yes;Negative
114;114;35;High;Yes;Yes;Neutral
115;115;19;Medium;No;Yes;Neutral
116;116;22;High;Yes;Yes;Positive
117;117;20;High;No;Yes;Positive
118;118;13;Medium;No;Yes;Positive
119;119;27;High;Yes;Yes;Positive
120;120;25;High;Yes;Yes;Positive
121;121;25;Medium;No;Yes;Positive
122;122;15;Medium;Yes;Yes;Negative
123;123;28;High;Yes;Yes;Positive
124;124;12;Medium;No;Yes;Positive
125;125;24;High;Yes;Yes;Neutral
126;126;33;Medium;Yes;Yes;Neutral
127;127;14;Medium;No;Yes;Positive
128;128;17;Medium;No;Yes;Neutral
129;129;21;Medium;Yes;Yes;Positive
130;130;17;Medium;Yes;Yes;Neutral
131;131;11;High;Yes;Yes;Neutral
132;132;20;Medium;No;Yes;Positive
133;133;14;Low;No;Yes;Negative
134;134;23;Medium;Yes;Yes;Neutral
135;135;14;Medium;No;Yes;Negative
136;136;29;High;Yes;Yes;Positive
137;137;15;High;No;Yes;Negative
138;138;18;Medium;Yes;Yes;Neutral
139;139;25;Low;No;Yes;Positive
140;140;13;Medium;No;Yes;Neutral
141;141;21;Medium;No;Yes;Neutral
142;142;28;High;No;Yes;Negative
143;143;10;Low;No;Yes;Positive
144;144;21;Medium;No;Yes;Neutral
145;145;22;Medium;No;Yes;Negative
146;146;25;High;No;No;Negative
147;147;13;High;No;Yes;Negative
148;148;12;High;Yes;Yes;Negative
149;149;23;High;Yes;Yes;Negative
150;150;22;High;Yes;Yes;Positive
151;151;22;High;Yes;Yes;Positive
152;152;22;High;No;Yes;Negative
153;153;16;High;Yes;Yes;Neutral
154;154;21;Medium;Yes;Yes;Positive
155;155;22;Medium;Yes;Yes;Neutral
156;156;16;Medium;Yes;Yes;Positive
157;157;31;Medium;Yes;Yes;Positive
158;158;23;High;No;Yes;Neutral
159;159;13;High;No;Yes;Positive
160;160;24;Medium;Yes;Yes;Negative
161;161;14;Medium;Yes;Yes;Negative
162;162;25;High;No;Yes;Neutral
163;163;27;Medium;No;Yes;Positive
164;164;15;Medium;Yes;Yes;Positive
165;165;26;High;Yes;Yes;Neutral
166;166;22;Low;Yes;No;Neutral
167;167;25;Medium;Yes;Yes;Positive
168;168;31;Medium;Yes;Yes;Neutral
169;169;19;Low;No;Yes;Neutral
170;170;15;Medium;No;Yes;Positive
171;171;15;Medium;Yes;Yes;Positive
172;172;15;Medium;No;No;Negative
173;173;20;Low;No;Yes;Neutral
174;174;22;High;No;Yes;Positive
175;175;22;Medium;No;Yes;Positive
176;176;25;Medium;No;No;Positive
177;177;20;Medium;Yes;Yes;Positive
178;178;29;Medium;Yes;No;Neutral
179;179;18;Medium;No;Yes;Neutral
180;180;36;Medium;Yes;Yes;Positive
181;181;24;High;No;Yes;Neutral
182;182;15;High;No;Yes;Neutral
183;183;14;Medium;Yes;Yes;Neutral
184;184;23;Low;Yes;Yes;Negative
185;185;19;Medium;Yes;Yes;Positive
186;186;24;Low;Yes;Yes;Neutral
187;187;23;High;Yes;Yes;Positive
188;188;20;Medium;Yes;Yes;Neutral
189;189;15;High;Yes;Yes;Positive
190;190;11;High;Yes;Yes;Neutral
191;191;17;Medium;Yes;Yes;Positive
192;192;25;Medium;No;Yes;Positive
193;193;21;Medium;No;Yes;Positive
194;194;13;Low;Yes;Yes;Neutral
195;195;21;High;Yes;Yes;Negative
196;196;22;Medium;No;Yes;Negative
197;197;15;Low;Yes;Yes;Negative
198;198;21;High;Yes;Yes;Neutral
199;199;20;Medium;Yes;No;Neutral
200;200;13;Low;Yes;Yes;Neutral
201;201;22;Medium;Yes;Yes;Neutral
202;202;23;Medium;Yes;Yes;Positive
203;203;26;Medium;Yes;Yes;Positive
204;204;26;Medium;Yes;Yes;Positive
205;205;12;Low;Yes;No;Neutral
206;206;14;Medium;No;Yes;Positive
207;207;23;Medium;Yes;Yes;Neutral
208;208;23;High;Yes;Yes;Negative
209;209;23;Low;No;Yes;Positive
210;210;43;Medium;Yes;Yes;Positive
211;211;23;High;Yes;Yes;Positive
212;212;27;High;Yes;Yes;Positive
213;213;26;High;No;Yes;Positive
214;214;24;Low;No;Yes;Neutral
215;215;18;Medium;Yes;No;Neutral
216;216;25;Medium;Yes;Yes;Neutral
217;217;15;High;Yes;Yes;Positive
218;218;19;Low;No;Yes;Positive
219;219;17;Low;No;No;Neutral
220;220;20;Medium;Yes;No;Neutral
221;221;34;Low;Yes;Yes;Positive
222;222;9;Medium;Yes;No;Positive
223;223;24;High;Yes;Yes;Positive
224;224;10;High;No;Yes;Positive
225;225;17;Medium;Yes;Yes;Positive
226;226;27;High;Yes;Yes;Positive
227;227;20;Low;No;Yes;Neutral
228;228;14;Medium;Yes;Yes;Neutral
229;229;16;Medium;No;Yes;Positive
230;230;24;Low;Yes;Yes;Neutral
231;231;16;Low;Yes;Yes;Negative
232;232;21;Medium;No;Yes;Neutral
233;233;20;High;No;Yes;Positive
234;234;16;High;Yes;Yes;Neutral
235;235;33;Medium;No;Yes;Neutral
236;236;24;Low;No;Yes;Positive
237;237;8;Low;No;Yes;Positive
238;238;21;Medium;No;Yes;Neutral
239;239;16;Medium;Yes;Yes;Neutral
240;240;25;Low;Yes;Yes;Neutral
241;241;15;Medium;No;Yes;Neutral
242;242;19;Medium;Yes;Yes;Neutral
243;243;23;Medium;No;Yes;Neutral
244;244;25;High;Yes;Yes;Negative
245;245;13;High;No;Yes;Neutral
246;246;18;Medium;Yes;Yes;Positive
247;247;17;Low;Yes;Yes;Neutral
248;248;16;High;No;Yes;Neutral
249;249;31;Medium;No;Yes;Positive
250;250;22;Medium;Yes;Yes;Neutral
251;251;12;Medium;Yes;Yes;Neutral
252;252;26;Medium;No;Yes;Neutral
253;253;33;Medium;No;Yes;Positive
254;254;26;Medium;Yes;No;Positive
255;255;11;Medium;Yes;Yes;Neutral
256;256;17;High;Yes;No;Positive
257;257;28;Medium;No;Yes;Neutral
258;258;16;Low;Yes;Yes;Positive
259;259;23;Low;Yes;Yes;Positive
260;260;25;Medium;Yes;No;Positive
261;261;14;Medium;No;Yes;Neutral
262;262;20;Medium;No;Yes;Neutral
