Family_ID;Student_ID;Parental_Involvement;Family_Income;Parental_Education_Level
1;1;Low;Low;High School
2;2;Low;Medium;College
3;3;Medium;Medium;Postgraduate
4;4;Low;Medium;High School
5;5;Medium;Medium;College
6;6;Medium;Medium;Postgraduate
7;7;Medium;Low;High School
8;8;Low;High;High School
9;9;Medium;Medium;College
10;10;Medium;High;High School
11;11;Low;Medium;College
12;12;Medium;Low;High School
13;13;Medium;Medium;High School
14;14;Medium;Medium;Postgraduate
15;15;Medium;Low;Postgraduate
16;16;Medium;Medium;High School
17;17;Medium;High;College
18;18;Low;Low;High School
19;19;Medium;Low;College
20;20;Medium;Medium;College
21;21;Medium;High;High School
22;22;Medium;Medium;High School
23;23;Medium;Medium;College
24;24;High;Low;High School
25;25;Low;Low;High School
26;26;High;High;Postgraduate
27;27;Low;High;High School
28;28;High;High;College
29;29;Medium;Low;High School
30;30;High;Low;College
31;31;Low;High;High School
32;32;Medium;High;College
33;33;Medium;Medium;High School
34;34;High;Medium;College
35;35;High;Medium;College
36;36;Low;Low;High School
37;37;Medium;Medium;High School
38;38;Medium;Low;Postgraduate
39;39;Low;Low;High School
40;40;Low;Medium;High School
41;41;High;High;College
42;42;Medium;Medium;College
43;43;Low;Medium;High School
44;44;Medium;Medium;College
45;45;Medium;Medium;Postgraduate
46;46;Medium;Medium;High School
47;47;Medium;Medium;College
48;48;Medium;Low;High School
49;49;Low;Low;High School
50;50;Medium;Medium;High School
51;51;Low;Medium;College
52;52;High;Medium;College
53;53;Low;Medium;High School
54;54;High;Medium;High School
55;55;Medium;High;Postgraduate
56;56;Medium;Low;College
57;57;Medium;Medium;High School
58;58;Medium;Medium;High School
59;59;High;Medium;Postgraduate
60;60;Medium;Low;High School
61;61;Medium;High;Postgraduate
62;62;Medium;Low;High School
63;63;Low;Low;Postgraduate
64;64;Medium;Low;College
65;65;Low;Medium;Postgraduate
66;66;Medium;Medium;High School
67;67;Medium;Low;Postgraduate
68;68;Low;Medium;High School
69;69;Medium;Low;High School
70;70;Medium;Low;College
71;71;Medium;Medium;College
72;72;Medium;Low;High School
73;73;Medium;Low;College
74;74;Low;Medium;Postgraduate
75;75;High;Medium;College
