School_ID;Student_ID;Attendance;Tutoring_Sessions;Teacher_Quality;School_Type;Distance_from_Home;Previous_Scores;Exam_Score
1;1;84;0;Medium;Public;Near;73;67
2;2;64;2;Medium;Public;Moderate;59;61
3;3;98;2;Medium;Public;Near;91;74
4;4;89;1;Medium;Public;Moderate;98;71
5;5;92;3;High;Public;Near;65;70
6;6;88;3;Medium;Public;Near;89;71
7;7;84;1;Medium;Private;Moderate;68;67
8;8;78;1;High;Public;Far;50;66
9;9;94;0;Low;Private;Near;80;69
10;10;98;0;High;Public;Moderate;71;72
11;11;80;4;High;Private;Moderate;88;68
12;12;97;2;High;Private;Near;87;71
13;13;83;2;Medium;Public;Near;97;70
14;14;82;2;Medium;Private;Near;72;66
15;15;78;1;Medium;Private;Near;74;65
16;16;68;2;Medium;Private;Near;70;64
17;17;60;0;Medium;Private;Near;65;60
18;18;70;1;High;Public;Near;82;65
19;19;80;3;Medium;Public;Moderate;91;67
20;20;75;3;Medium;Private;Near;58;66
21;21;78;0;Medium;Public;Moderate;99;69
22;22;99;1;High;Public;Near;84;72
23;23;74;1;Medium;Public;Moderate;89;66
24;24;78;1;Medium;Public;Moderate;100;66
25;25;65;2;Medium;Public;Near;75;63
26;26;62;0;High;Public;Far;54;64
27;27;91;1;Medium;Public;Moderate;90;65
28;28;83;0;Medium;Public;Moderate;94;71
29;29;90;1;Medium;Public;Moderate;58;66
30;30;66;2;Medium;Private;Near;51;64
31;31;83;0;Low;Public;Near;57;63
32;32;70;1;Medium;Public;Near;66;69
33;33;69;2;High;Public;Near;96;67
34;34;60;2;Medium;Public;;50;61
35;35;65;2;Medium;Public;Moderate;90;68
36;36;72;1;Medium;Public;Near;93;61
37;37;65;2;High;Public;Far;91;64
38;38;99;2;Medium;Public;Near;54;67
39;39;72;1;Medium;Public;Near;84;63
40;40;65;1;High;Public;Near;98;64
41;41;68;3;High;Public;Near;56;67
42;42;84;1;High;Public;Far;52;65
43;43;63;1;Medium;Private;Moderate;94;64
44;44;94;3;Medium;Private;Near;82;70
45;45;98;1;Medium;Private;Far;82;68
46;46;70;2;Medium;Public;Moderate;98;65
47;47;78;1;High;Private;Near;88;68
48;48;61;2;Medium;Public;Moderate;70;64
49;49;86;3;High;Public;Moderate;72;68
