Student_ID;Sleep_Hours;Motivation_Level;Physical_Activity;Learning_Disabilities;Gender
1;7;Low;3;No;Male
2;8;Low;4;No;Female
3;7;Medium;4;No;Male
4;8;Medium;4;No;Male
5;6;Medium;4;No;Female
6;8;Medium;3;No;Male
7;7;Low;2;No;Male
8;6;Medium;2;No;Male
9;6;High;1;No;Male
10;8;Medium;5;No;Male
11;8;Medium;4;No;Male
12;6;Low;2;No;Male
13;8;Low;4;No;Male
14;8;Medium;3;No;Male
15;8;Medium;4;No;Male
16;8;Medium;4;No;Female
17;10;Low;3;No;Male
18;6;Medium;3;No;Female
19;9;Low;2;No;Female
20;7;Medium;4;No;Male
21;5;High;1;No;Female
22;6;Medium;3;No;Male
23;8;Low;2;No;Female
24;8;High;3;No;Male
25;5;Medium;3;No;Female
26;6;High;3;No;Male
27;6;Medium;2;Yes;Female
28;6;Medium;2;No;Male
29;4;Medium;3;No;Female
30;4;Low;2;No;Male
31;6;Medium;4;Yes;Female
32;7;Medium;3;No;Male
33;8;Medium;3;No;Male
34;5;Medium;3;No;Female
35;5;Medium;3;No;Female
36;6;Low;3;No;Male
37;7;Low;3;No;Female
38;9;Low;5;No;Female
39;8;Medium;5;No;Female
40;6;Low;4;No;Male
41;8;Low;1;No;Male
42;6;Low;2;Yes;Female
43;7;Medium;3;No;Male
44;7;Medium;2;Yes;Male
45;9;Low;3;No;Male
46;8;Medium;3;No;Male
47;6;Medium;3;No;Female
48;6;Medium;3;No;Female
49;7;Low;2;No;Male
50;5;Medium;3;No;Male
51;7;Low;4;No;Male
52;7;Medium;3;No;Male
53;8;Medium;4;No;Male
54;8;Medium;3;No;Female
55;7;Low;4;Yes;Female
56;5;Medium;4;No;Male
57;5;Low;2;Yes;Female
58;6;High;4;No;Male
59;8;Medium;1;No;Female
60;8;Medium;3;No;Male
61;7;Medium;5;No;Female
62;10;Low;3;No;Male
63;9;High;4;No;Male
64;9;High;3;No;Male
65;8;Medium;3;No;Male
66;8;Medium;2;No;Male
67;8;Medium;3;No;Male
68;4;High;2;No;Male
69;5;Low;4;No;Female
70;7;Medium;4;No;Male
71;7;Medium;3;No;Female
72;7;Medium;3;No;Male
73;7;Medium;4;No;Female
74;4;Medium;1;No;Female
75;8;High;4;No;Male
76;7;Medium;3;No;Female
77;7;Medium;3;No;Male
78;8;Medium;3;No;Female
79;5;Medium;5;Yes;Male
80;7;Medium;3;No;Male
81;7;High;2;No;Male
82;6;High;3;No;Male
83;4;Low;3;No;Male
84;5;High;3;No;Female
85;7;Medium;4;No;Male
86;7;Low;3;No;Male
87;7;Medium;4;No;Male
88;6;Medium;0;No;Male
89;5;High;3;No;Male
90;7;Low;3;No;Female
91;7;Medium;4;Yes;Male
92;8;Medium;4;Yes;Female
93;6;Low;4;No;Male
94;4;Low;3;No;Male
95;4;Medium;2;No;Female
96;6;Medium;3;No;Male
97;7;Low;3;No;Male
98;7;Low;3;No;Female
99;6;Medium;3;No;Male
100;5;High;3;No;Male
101;4;High;3;Yes;Male
102;8;Medium;4;Yes;Female
103;7;Medium;3;No;Male
104;6;High;3;No;Male
105;5;High;3;No;Male
106;6;Low;4;No;Male
107;7;Medium;5;No;Male
108;7;High;3;Yes;Female
109;7;High;2;No;Female
110;9;Medium;3;No;Male
111;6;Medium;2;No;Male
112;9;Medium;3;No;Male
113;7;High;5;No;Male
114;7;Low;2;No;Female
115;8;Medium;3;No;Female
116;6;Medium;3;No;Female
117;7;High;4;Yes;Male
118;5;Medium;2;No;Male
119;8;Medium;5;No;Female
120;8;Low;4;No;Female
121;9;High;3;Yes;Female
122;7;Medium;3;No;Male
123;9;High;1;No;Female
124;6;Low;2;No;Male
125;8;Medium;3;Yes;Male
126;6;Low;4;No;Male
127;7;Medium;4;No;Female
128;8;Medium;4;No;Male
129;10;Medium;2;No;Male
130;8;Low;6;No;Female
131;8;Medium;3;No;Male
132;6;Low;4;No;Female
133;7;Medium;3;No;Male
134;7;Medium;2;No;Male
135;9;Medium;3;No;Female
136;7;Low;3;No;Female
137;9;Low;1;No;Male
138;5;Medium;3;No;Female
139;9;High;2;No;Male
140;6;Medium;1;Yes;Male
141;8;High;0;No;Male
142;6;High;3;Yes;Male
143;8;Medium;1;Yes;Female
144;6;Medium;2;No;Female
145;9;Medium;2;Yes;Female
146;8;High;5;No;Female
147;6;Medium;4;No;Male
148;8;Medium;3;No;Female
149;8;Low;3;Yes;Female
150;6;Medium;3;No;Female
151;5;Medium;3;No;Female
152;5;Low;3;No;Female
153;5;Low;2;No;Male
154;5;Medium;2;No;Female
155;8;Medium;4;No;Female
156;8;Medium;2;No;Female
157;4;Medium;4;Yes;Male
158;6;Low;2;No;Male
159;5;Low;4;No;Female
160;8;High;3;No;Male
161;6;Medium;3;Yes;Female
162;5;Low;4;No;Male
163;7;Low;4;No;Male
164;8;Low;3;No;Male
165;6;Medium;3;No;Male
166;7;Medium;2;No;Male
167;6;Medium;3;No;Male
168;9;Medium;3;No;Male
169;6;Medium;4;No;Male
170;6;Medium;4;No;Male
171;7;High;3;No;Male
172;7;High;2;No;Male
173;8;Medium;4;Yes;Female
174;9;Low;2;No;Male
175;9;Medium;3;No;Male
176;6;Medium;3;No;Female
177;7;Low;3;No;Male
178;9;Low;2;No;Female
179;9;High;4;No;Female
180;6;Medium;2;No;Male
181;8;Low;1;No;Male
182;8;Medium;4;No;Male
183;8;Low;4;No;Male
184;9;Low;2;No;Male
185;5;Medium;2;No;Male
186;6;Medium;5;No;Female
187;8;High;3;No;Male
188;7;Medium;4;No;Male
189;4;Low;3;No;Female
190;5;Medium;4;No;Male
191;8;Medium;1;No;Male
192;8;Low;0;No;Male
193;5;High;4;No;Male
194;9;Low;4;No;Female
195;7;Low;4;No;Male
196;5;Medium;3;No;Male
197;6;Low;5;No;Male
198;5;Medium;2;No;Male
199;6;High;4;Yes;Male
200;4;Medium;3;No;Female
201;7;High;2;No;Female
